objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,dob-dod,rights,collection,type,language,relation
wocim001,edith_erby.jpg,,Edith Irby Jones,image/jpeg,"Dr. Edith Mae Irby Jones was the first African American student accepted to the University of Arkansas Medical School (UAMS), the first African American accepted to any all-White medical school in the South, and the first woman president of the National Medical Association.",,,1977,,Photograph,University of Arkansas for Medical Sciences; Baylor College of Medicine; National Medical Association; Freedman's Hospital,"Houston, TX; Little Rock, AR; Hot Springs, AR",29.73134,-95.3604937,,"Historical Research Center, UAMS Library",,,,"December 23, 1927 - July 15, 2019","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim002,JordanLena_f.jpg,,Lena Lowe Jordan,image/jpeg,"Lena Lowe Jordan was an African-American registered nurse and hospital administrator who managed two institutions for African Americans, a hospital for the care of crippled children, which later became a general hospital. In addition, she began a unique training program for young black women who wanted to become practical nurses.",,,1940s,no,Photograph,Lena Jordan Hospital; Arkansas Home and Hospital for Crippled Negro Children; Charity Hospital of Savannah; Midwifery; Midwives; Mosaic Templars Hospital; Nurses; Hospital administrators; Obstetrics & Gynecology,"Little Rock, AR; Savannah, GA; Washington, D.C.",34.7348496,-92.2861613,,"Historical Research Center, UAMS Library",,,,"April 6, 1884 - September 30, 1950","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim003,kathryn.jpg,,Kathyrn Hall-Trujillo,image/jpeg,"Kathryn Hall Trujillo founded the nonprofit organization Birthing Project USA, which has the goal of reducing infant mortality rates.  Dr. Hall Trujillo is a public health expert and advocate who focuses on healthcare for African American women.",,,,no,Photograph,Birthing Project USA; Cuban National School of Public Health; Arkansas Black Hall of Fame,"Pine Bluff, AR; Los Angeles, CA; Albuquerque, NM; Havana, Cuba",37.7766,-122.4507,,"Historical Research Center, UAMS Library",,,,"July 19, 1948 - ","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim004,uw_407_full.jpg,,Mamie Odessa Hale Garland,image/jpeg,Mamie Odessa Hale Garland served as midwife consultant for the Arkansas Department of Health from 1945 to 1950 and is credited with training the states midwives to ensure that they knew the proper techniques to manage the medical aspects of pregnancy.  Her contributions led to establishing improved maternal/infant mortality rates and regulation of midwives in Arkansas.,,,1940s,no,Photograph,Crittenden County Health Department; Arkansas Department of Health; Allegheny General Hospital; Midwifery; Midwives; Nurses; Public Health,"Keeny's Creek, WV; Little Rock, AR",34.7406336,-92.3140096,,"Historical Research Center, UAMS Library",,,,"November 9, 1910 - July 10, 1979","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim005,0120306_mamie-phipps.jpg,,Mamie Katherine Phipps Clark,image/jpeg,"Mamie Phipps Clark was the first African American woman to graduate from Columbia University with a doctorate in psycology.  She opened the Northside Testing and Consultation Center in Harlem, which was the first practice in the area to offer psychological and casework services to local families. ",,,,no,Photograph,Columbia University; Howard University; Mount Sinai Medical Center; Northside Center for Child Development; Riverside Home for Children; Psychiatry,"Hot Springs, AR; Washington, D.C.; New York, NY",40.7295,-73.9965,,"Historical Research Center, UAMS Library",,,,"October 19, 1917 - August 11, 1983","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim006,mamie-phipps-clark-image3.jpg,,Mamie Katherine Phipps Clark,image/jpeg,"Mamie Phipps Clark was the first African American woman to graduate from Columbia University with a doctorate in psycology.  She opened the Northside Testing and Consultation Center in Harlem, which was the first practice in the area to offer psychological and casework services to local families. ",,,,no,Photograph,Columbia University; Howard University; Mount Sinai Medical Center; Northside Center for Child Development; Riverside Home for Children; Psychiatry,"Hot Springs, AR; Washington, D.C.; New York, NY",34.5037,-92.0552,,"Historical Research Center, UAMS Library",,,,"October 19, 1917 - August 11, 1983","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim007,Caduceus 1966 page 223 Freda McKissic.jpg,,Freda McKissic Bush,image/jpeg,"Freda McKissic Bush, M.D., is an obstetrician/gynecologist with long experience in addressing issues of women's health.  She often speaks on topics such as sexual health, sexually transmitted diseases, and social behavior education.",,,1966,,Photograph,"University of Arkansas for Medical Sciences; University of Mississippi Medical School; Medical Institute for Sexual Health; Center for Pregnancy Choices, Metro Jackson",,34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim008,char_00001033-001.jpg,,Florence Char,image/jpeg,"Florence Char was born in Peking, China on April 7, 1923.  By the early 1940s, her parents sent Florence and her brother to live in the western United States.  Dr. Char earned her medical degree at the State University of New York Health Science Center in Brooklyn in 1952.  She interned in Pediatrics at the University of Minnesota Hospitals from 1952-53 and was a fellow in Pediatric Cardiology in 1955-1957.  She was certified in Pediatrics in 1959 and Pediatric Cardiology in 1965.  She joined the faculty at the University of Arkansas School of Medicine in 1963. In 1971, Dr. Char established the first genetics clinics and cytogenetics laboratory in Arkansas and was instrumental in the creation of the Arkansas Genetics Program at UAMS.  In 1978, Dr. Char described a genetic birth defect that came to be called Char syndrome.  She retired in 1990 with the rank of professor emeritus. ",,,,,Photograph,"University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Johns Hopkins University, Peking University; State University of New York; ","Peking, China; Little Rock, AR; Baltimore, MD",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,"April 7, 1923 - October 10, 1998","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim009,nlm_nlmuid-101.jpg,,Mamie Odessa Hale Garland,image/jpeg,Mamie Odessa Hale Garland served as midwife consultant for the Arkansas Department of Health from 1945 to 1950 and is credited with training the states midwives to ensure that they knew the proper techniques to manage the medical aspects of pregnancy.  Her contributions led to establishing improved maternal/infant mortality rates and regulation of midwives in Arkansas.,,,1940s,no,Photograph,Crittenden County Health Department; Arkansas Department of Health; Allegheny General Hospital; Midwifery; Midwives; Nurses; Public Health,"Keeny's Creek, WV; Little Rock, AR",35.3021,-90.3748,,"Historical Research Center, UAMS Library",,,,"November 9, 1910 - July 10, 1979","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim010,Edith Irby Jones.jpg,,Edith Irby Jones,image/jpeg,"Dr. Edith Mae Irby Jones was the first African American student accepted to the University of Arkansas Medical School (UAMS), the first African American accepted to any all-White medical school in the South, and the first woman president of the National Medical Association.",,,,no,Photograph,University of Arkansas for Medical Sciences; Baylor College of Medicine; National Medical Association; Freedman's Hospital,"Houston, TX; Little Rock, AR; Hot Springs, AR",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,"December 23, 1927 - July 15, 2019","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim011,P799 MJE Ped.jpg,,M. Joycelyn Elders,image/jpeg,,,,,no,Photograph,University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Philander Smith College; University of Minnesota; Arkansas Department of Health; U.S. Surgeon General; Pediatric Endocrinology; Arkansas Black Fall of Fame; Arkansas Womens Hall of Fame ,"Schaal, AR; Little Rock, AR; Washington, D.C.",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,"August 13, 1933 -","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim012,Patricia Newton.jpg,,Patricia A. Newton,image/jpeg,"Patricia A. Newton was a founding member of the Black Psychiatrists of America (BPA) and a celebrated advocate for Black psychiatrists and patients. Dr. Newton was one of the first APA/NIMH Fellows and the first woman chair of the Department of Psychiatry at Provident Hospital in Baltimore. Her clinical work centered on anxiety disorders with a special focus on posttraumatic stress disorder, as well as depression and chronic mental illness.",,,,no,Photograph,University of Arkansas for Medical Sciences; Washington University School of Medicine; Johns Hopkins School of Hygiene and Public Health; Black Psychiatrists of America; Psychiatry,"Pine Bluff, AR; St. Louis, MO; Baltimore, MD",39.3359399,-76.6696922,,"Historical Research Center, UAMS Library",,,,"August 11, 1945 - September 27, 2020","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim013,Elders with ACH patient.jpg,,M. Joycelyn Elders at Arkansas Childrens Hospital,image/jpeg,,,,,no,Photograph,University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Philander Smith College; University of Minnesota; Arkansas Department of Health; U.S. Surgeon General; Pediatric Endocrinology; Arkansas Black Fall of Fame; Arkansas Womens Hall of Fame ,"Schaal, AR; Little Rock, AR; Washington, D.C.",34.7422222,-92.2927778,,"Historical Research Center, UAMS Library",,,,"August 13, 1933 -","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
